id,question,ground_truth,top_k,predicted_answer,context_ids,relevant_passages_ids,num_relevant_passages,max_num_relevant_passages,retrieved_ratio
30,"1. Autistic-like syndrome
2. Autistic disorder
3. Asperger syndrome
4. Pervasive developmental disorder not otherwise specified (PDD-NOS)
5. Preschool onset autism spectrum disorder (P-ASD)
6. Childhood onset autism spectrum disorder (C-ASD)
7. Non-verbal learning disorder (NVLD)
8. Intellectual disability
9. Atypical autism
10. Rett syndrome
11. Tourette syndrome
12. Developmental coordination disorder (DCD)
13. Non-severe intellectual disability
14. Neurodevelopmental disorder with autism spectrum disorder (ND-ASD)
15. Developmental disorder without autism spectrum disorder (DD-ASD)
16. Dyslexia
17. Autism spectrum disorder without autism (ASD-WASD)
18. Fragile X syndrome
19. Attention-deficit/hyperactivity disorder (ADHD)
20. Attention-deficit/hyperactivity disorder with autism spectrum disorder (ADHD-ASD)
21. Attention-deficit/hyperactivity disorder with pervasive developmental disorder (ADHD-PDD)
22. Attention-deficit/hyperactivity disorder with autism and pervasive developmental disorder (ADHD-ASPDD)
23. Attention-deficit/hyperactivity disorder with autism and pervasive developmental disorder not otherwise specified (ADHD-ASPDDNOS)
24. Attention-deficit/hyperactivity disorder with autism and pervasive developmental disorder not otherwise specified (ADHD-ASPDDNOS) with comorbid developmental coordination disorder (DCD)
25. Attention-deficit/hyperactivity disorder with autism and pervasive developmental disorder not otherwise specified (ADHD-AS","Endoscopic examinations in autistic children have been reported to show : I or II reflux esophagitis,  Achalasia, chronic gastritis and chronic duodenitis,  mild acute and chronic inflammation of the small bowel and colorectum and Ileo-colonic lymphoid nodular hyperplasia (LNH).  
The number of Paneth's cells in the duodenal crypts was found to be significantly elevated in autistic children compared with non-autistic control subjects. Low intestinal carbohydrate digestive enzyme activity was reported although there was no abnormality found in pancreatic function. Autistic children have ben reported to have an increased pancreatico-biliary fluid output after intravenous secretin administration.",20,No answer generated,"[1623312, 24065914, 15736079, 23666287, 27956832, 27974283, 19329445, 18228241, 21571763, 29706156, 25200592, 20621443, 28872268, 28258508, 22958973, 23371507, 23118256, 25084822, 22997101, 17885828]","[12907332, 9585670, 10547242, 22607127, 16003132, 11007230]",0,6,0.0
31,"Renal sympathetic denervation is a technique used to treat nephrological disorders such as hypertension and diabetes. The procedure involves the surgical removal of the sympathetic nerves in the kidneys, which can be done under general anesthesia. The outcomes of renal sympathetic denervation are dependent on the patient's underlying condition, the surgeon's experience, and the techniques used during the procedure. Some of the outcomes of renal sympathetic denervation include improved blood pressure control, improved glycemic control, and a decrease in the incidence of diabetic nephropathy.","Significant decreases and progressively higher reductions of systolic and diastolic blood pressure were observed after RSD. The complication rate was minimal.
Renal sympathetic denervation also reduces heart rate, which is a surrogate marker of cardiovascular risk.",20,No answer generated,"[23774592, 24029963, 22573363, 23514712, 23541665, 21247927, 25636143, 14639139, 9338510, 2949917, 18683528, 7738211, 20005733, 25075166, 3604881, 1867186, 8302154, 7777669, 8436254, 12087555]","[23774592, 23541665, 23890950, 23819768, 24029963, 23176687, 22573363, 21247927, 23514712]",6,9,0.6666666666666666
32,"c-Jun is phosphorylated by mitogen-activated protein kinase (MAPK) at Ser46, which is downstream of the MAP kinase cascade.",c-Jun is phosphorylated by c-Jun NH2-terminal kinase (JNK).,20,No answer generated,"[23147205, 23028407, 12524447, 8607977, 23385061, 15637069, 12668975, 11566103, 10915787, 23159405, 25371407, 29254998, 21268275, 23485197, 18239272, 22175015, 22100391, 18812180, 18823331, 26038951]","[24113186, 24300195, 24285252, 23385061, 23147205, 8607977, 15228586, 24272171, 24291243, 15637069, 15708845, 24321066, 24252081, 24270002, 24144051, 23028407, 24139673, 24321566]",5,18,0.2777777777777778
33,"TAILS is an acronym for Trimethylamine-N-Oxide Labeled Proteins from Tissues. It refers to a technique for detecting protein N-termini in tissues. TAILS involves the labeling of proteins with a radioactive isotope (e.g., 13C14C), followed by incubation with an antibody that binds to the N-terminus of the protein. The label is then removed by washing, and the label-free protein is detected with a fluorescent reagent.","TAILS stands for ""Terminal Amine Isotopic Labeling of Substrates""",20,No answer generated,"[22577022, 8676929, 23667905, 21656271, 20580647, 23745983, 19467989, 12213770, 21237724, 22065552, 24813925, 14730684, 19563911, 24051958, 20373499, 23500724, 19549299, 23214983, 20218731, 24797264]","[21604129, 23667905, 20305284, 22367194, 22577022, 21604127]",2,6,0.3333333333333333
34,"No, mutations of AKT1 do not occur in meningiomas.","Yes, AKT1 mutation occurs in meningiomas.",20,No answer generated,"[23334667, 23348505, 25857641, 28731398, 9735087, 10664520, 25438602, 21678021, 10496602, 26246098, 15006250, 25862935, 7487408, 20380529, 22287638, 17580362, 21551322, 18159245, 23024266, 23101448]","[25857641, 24096618, 23334667, 23475883, 25146167, 23348505]",3,6,0.5
35,"Lacosamide is a medication used for the treatment of epilepsy and other neurological disorders. It is believed to work by reducing the activity of voltage-gated calcium channels in the brain, leading to a reduction in seizures.","Lacosamide is an anti-epileptic drug, licensed for refractory partial-onset seizures. In addition to this, it has demonstrated analgesic activity in various animal models. Apart from this, LCM has demonstrated potent effects in animal models for a variety of CNS disorders like schizophrenia and stress induced anxiety.",20,No answer generated,"[17433624, 17461888, 21301338, 26166587, 15638775, 22735246, 22322415, 20518600, 21429248, 21549021, 25451697, 19588340, 26661741, 22890709, 22696384, 20722665, 20472190, 24254932, 26421989, 23941843]","[17461888, 21271304, 20677583, 23648276, 21861814, 17433624, 21301338, 23288091]",3,8,0.375
36,"Ewing sarcoma is a type of bone cancer that arises from the bone tissue. Ewing sarcoma is characterized by the presence of a fusion protein that is involved in the development of the cancer. This fusion protein is called EWS-FLI1. Ewing sarcoma typically develops in young adults and can be treated with chemotherapy, radiation therapy, and surgery.","Ewing sarcoma is the second most common bone malignancy in children and young adults. In almost 95% of the cases, it is driven by oncogenic fusion protein EWS/FLI1, which acts as an aberrant transcription factor, that upregulates or downregulates target genes, leading to cellular transformation.",20,No answer generated,"[17250957, 23475435, 17453169, 24124617, 16697960, 18256529, 21942527, 18485618, 23145994, 18927503, 17114343, 16864960, 21979944, 24293381, 16157025, 25483190, 10492040, 22241085, 22240531, 19718047]","[23894528, 25401475, 23750284, 17250957, 18256529, 19718047, 25162919, 21979944, 25483190, 16206264, 22241085, 20691659, 25432018, 21680731, 16697960, 22723308, 17453169, 18485618, 24481407]",9,19,0.47368421052631576
37,"Hemolytic-uremic syndrome (HUS) is a disorder characterized by acute kidney injury due to an inflammatory response to a bacterial infection. Hemolysis, or the loss of red blood cells, is the primary cause of HUS. Uremia, or the decrease in kidney function, is the second component of HUS. The third component is a secondary complication, called nephritis, which is inflammation of the kidneys.","Hemolytic uremic syndrome (HUS) is a clinical syndrome characterized by the triad of anaemia, thrombocytopenia, renal failure.",20,No answer generated,"[26265890, 24516709, 19227723, 20865638, 23380391, 24161037, 20209841, 16387683, 20499172, 8589282, 7487540, 17705684, 24548192, 21286212, 21151537, 2831711, 25345382, 16006690, 25765799, 23265597]","[25011592, 24161037, 26265890, 16006690, 25765799, 23380391, 20209841, 7487540, 19227723, 25280590, 17705684, 2831711, 24548192, 8589282, 16387683, 20499172, 24516709, 25345382, 20865638, 19625716, 22956028]",17,21,0.8095238095238095
38,"Yes, physical activity has been shown to have many health benefits, including improved cardiovascular health, weight management, and improved mental health.",Yes.,20,No answer generated,"[10670554, 22811911, 9177584, 20061269, 22587716, 18369530, 8164540, 19574095, 15157122, 21676220, 1852180, 21278396, 19945334, 2279154, 25823689, 21435018, 24324965, 23241269, 23892221, 16401383]","[2888163, 21615652, 20690071, 11321513, 16942616, 23111564, 21554896, 19158129, 15795476, 17470516, 21927572, 18987287, 22619704, 20061436, 23402716, 19737911]",0,16,0.0
39,"Depleting protein  km23-1 (DYNLRB1) in a cell leads to a decrease in protein kinase A (PKA) activity, which is a key regulator of cellular signaling pathways. This results in a decrease in intracellular calcium levels, which can lead to a variety of cellular responses, including cell death and apoptosis.","The knockdown of km23-1 results in numerous effects at the cellular level, such as decreased cell migration. Additionaly, km23-1 is involved in signalling pathways and its knockdown results in decreased RhoA activation, inhibition of TGFβ-mediated activation of ERK and JNK, phosphorylation of c-Jun, transactivation of the c-Jun promoter and decreased TGFbeta responses.",20,No answer generated,"[9596994, 9350040, 24122441, 19037995, 25997832, 16034054, 15925487, 21300429, 26743630, 21173164, 24278035, 23774579, 12105396, 11075932, 20194790, 17041622, 23499906, 22812510, 26797128, 15598648]","[19571232, 17420258, 23079622, 22637579, 15925487, 16778097, 19711352]",1,7,0.14285714285714285
40,"The MR CLEAN study investigated the safety and efficacy of the MR-guided focused ultrasound (MR-GFFU) treatment of chronic low back pain (LBP). LBP is a common disorder affecting millions of people worldwide. It is characterized by chronic pain and stiffness in the lower back, which may be associated with muscle tightness, inflammation, and nerve irritation.
A randomized, double-blind, placebo-controlled, multicenter trial, MR CLEAN evaluated the safety and efficacy of the MR-GFFU treatment of chronic LBP. The study enrolled 288 patients with LBP and chronic pain in the lower back. Patients were randomized to receive either the MR-GFFU treatment (n=144) or sham treatment (n=144) for 6 months. The primary outcome measure was the change in pain intensity at week 6. Secondary outcome measures included pain-related quality of life (QoL), disability, and treatment satisfaction.
The MR-GFFU treatment was found to be safe and well-tolerated. The study demonstrated a statistically significant improvement in pain intensity at week 6 compared to baseline. The improvement in pain was maintained at 6 months, with a significant reduction in pain-related QoL, disability, and treatment satisfaction. The study also showed that the MR-GFFU treatment was well-tolerated, with no serious adverse events reported.
The MR-GFFU treatment has the potential to be a useful and effective alternative to traditional pharmacological and surgical treatments for chronic LBP. Further research is needed to confirm the safety and efficacy of MR-GFFU treatment and to develop targeted treatment protocols for this disorder.",Multicenter Randomized CLinical trial of Endovascular treatment for Acute ischemic stroke in the Netherlands (MR CLEAN) study investigated endovascular treatment for acute ischemic stroke.,20,No answer generated,"[24452657, 26877873, 21696889, 22208894, 18355899, 23944301, 27557301, 23523144, 29385927, 7644247, 25512869, 25438838, 17516722, 31096775, 23010344, 22699304, 33045182, 27936977, 32901611, 25343176]","[25432979, 25517348, 25179366, 24330796]",0,4,0.0
41,"The zygotic genome undergoes extensive DNA replication and transcription during the maternal-to-zygotic transition (MZT) in zebrafish. The exact factors that activate zygotic gene expression during this process remain unknown. In a study published in Nature Communications, researchers discovered that the DNA-binding protein CBP/p300 is involved in this process. They found that CBP/p300 binds to specific DNA sequences within the zygotic genome and facilitates its activation. The study provides insights into the mechanisms of gene regulation during zygotic gene expression and the role of transcription factors in this process.","Nanog, Pou5f1 and SoxB1 activate zygotic gene expression during the maternal-to-zygotic transition. Maternal Nanog, Pou5f1 and SoxB1 are required to initiate the zygotic developmental program and induce clearance of the maternal program by activating miR-430 expression.",20,No answer generated,"[24056933, 18931655, 20599892, 23676078, 22028662, 24909324, 29261646, 19571382, 22028675, 18542060, 20102629, 30982648, 30993896, 2505416, 21435340, 23000899, 18231586, 17332356, 20494938, 20594338]",[24056933],1,1,1.0
42,"Irritable bowel syndrome (IBS) is a common digestive disorder that affects women more frequently than men. However, there is no conclusive evidence to suggest that women with endometriosis are more likely to have IBS. While there are some studies that suggest a higher risk of IBS in women with endometriosis, it is not yet clear why this may be the case. Further research is needed to fully understand the relationship between endometriosis and IBS.","Yes, irritable bowel syndrome (IBS) is more common in women with endometriosis. It has been shown that 15% of the patients with endometriosis also had IBS. Women with endometriosis are more likely to have received a diagnosis of IBS. Endometriosis may coexist with or be misdiagnosed as IBS.",20,No answer generated,"[14501624, 15341718, 19832874, 19694698, 17493437, 21527837, 15894210, 17209363, 23507008, 17701798, 15605531, 22096721, 17635599, 30689680, 8566249, 17572918, 12617256, 15640252, 24278273, 7752802]","[22134016, 23507008, 15894210, 17701798, 18715239, 18715240, 19694698, 18646315, 21868492, 19832874, 17635599, 22096721, 18478547, 15341718, 14501624, 21527837, 15605531, 17493437]",12,18,0.6666666666666666
43,"The EORTC QLQ – INFO25 questionnaire is used to evaluate the physical and emotional well-being of patients with lung cancer, with the focus on the patient's attitude, coping strategies, and overall quality of life. The questionnaire is designed to assess the impact of various aspects of cancer on patients' daily lives, including physical and emotional symptoms, social support, and quality of life.","The European Organisation for Research and Treatment of Cancer Quality of Life Group information questionnaire (EORTC QLQ-INFO 25) evaluates the level of information patients have received in different areas of their disease, treatment and care, and evaluates qualitative aspects together with satisfaction with information.",20,No answer generated,"[21680301, 25475735, 21671697, 24834120, 22052786, 23642624, 30032842, 25104066, 21943928, 22027908, 24705224, 21531672, 26530956, 29183006, 22442202, 12605978, 12499060, 16960653, 23346238, 17521871]","[22638756, 24834120, 21680301, 21671697, 22052786, 25475735, 20674333]",5,7,0.7142857142857143
44,"No, BNP does not increase after intensive exercise in athletes. The study used a 12-week, placebo-controlled, double-blind, randomized, crossover design to investigate the effects of an intensive exercise intervention on BNP levels in healthy young adults. The participants were randomized to either the exercise intervention or placebo. During the exercise intervention, the participants performed a 60-minute brisk walking exercise at 60% of their maximum heart rate for 10 consecutive days. At the end of the 12-week period, the BNP levels were measured in the plasma before and after the exercise intervention. The results showed no significant changes in BNP levels during the exercise intervention. The study concluded that the intensive exercise intervention did not increase BNP levels in healthy young adults.","BNP and NTproBNP increase early after exercise in healthy athletes performing different types of sports. It is unknown the reason of this increase. The transient increases in BNP, NT-pro-BNP and troponin T are more likely to reflect myocardial stunning than cardiomyocyte damage.",20,No answer generated,"[16446686, 16338248, 11320362, 18630737, 2148091, 16125505, 19092706, 12890912, 18248532, 20599016, 15795476, 1852180, 21676220, 28857629, 32052504, 21925040, 22160404, 16322908, 21808206, 11321513]","[12890912, 16125505, 19092706, 22653984, 19638823, 16338248, 14523304, 11320362, 18076361, 17395308, 12417808, 18630737, 18184752, 18248532, 17289431, 16879068, 16446686, 23304255]",8,18,0.4444444444444444
45,"Estrogen replacement therapy is associated with an increased risk of intracranial meningioma, which is a rare and aggressive type of brain tumor. However, more research is needed to determine the exact mechanisms by which estrogen therapy may increase the risk of meningioma.","The association between hormone replacement therapy and meningioma risk is controversial. Increased risk of meningioma was demonstrated in estrogen-only hormonal replacement therapy. However, other studies did not find an association between hormonal replacement therapy and meningioma risk.",20,No answer generated,"[17580362, 22287638, 20738039, 20730482, 15006250, 24138870, 20091865, 23101448, 25335165, 16570277, 8315464, 28731398, 16193392, 20207611, 19179425, 11949834, 29953370, 22492363, 30880270, 15799699]","[20802020, 16570277, 23101448, 15006250, 17580362, 20730482, 20738039, 22287638, 24138870, 20091865, 25335165, 21067422, 16759391]",10,13,0.7692307692307693
46,"Yes, there are many web based self management strategies for chronic pain. Here are a few examples:

1. Pain Management Apps: There are numerous pain management apps available on the internet that can help users manage their pain. Some examples include:
   - Headspace: A meditation and stress management app that has been shown to reduce pain in people with chronic pain.
   - Calm: A meditation and relaxation app that has been shown to reduce pain in people with chronic pain.
   - Insight Timer: A timer-based app that can help users practice mindfulness and meditation.

2. Online Pain Management Communities: There are many online pain management communities where users can connect with others who are dealing with chronic pain. Some examples include:
   - Pain Relief Forum: A community dedicated to discussing pain management strategies and resources.
   - Chronic Pain Support: A community focused on providing support and resources for people with chronic pain.

3. Self-help Books: There are many self-help books available that can help users manage their pain. Some examples include:
   - ""The Pain Book"": A book by Dr. Mark Hyman that offers practical strategies for managing chronic pain.
   - ""The Whole-Brain Child"": A book by Daniel J. Siegel and Tina Payne Bryson that offers strategies for supporting children's brain development.

4. Online Webinars: There are many online webinars available that can provide information on pain management strategies. Some examples include:
   - ""Chronic Pain Management: A Comprehensive Guide for Caregivers"" webinar by the American Pain Society.
   - ""Pain Management for Children: A Parent's Guide"" webinar by the American Academy of Pediatrics.

These are just a few examples of the many web-based self management strategies for chronic pain available. It's always a good idea to do some research and choose a strategy that works best for you and your specific needs.",Results suggest the potential value of self-management for chronic pain patients and the potential acceptability of web-based delivery of intervention content.  ,20,No answer generated,"[24067267, 23859438, 23538392, 23291270, 22303839, 24251273, 23768119, 21375412, 16691087, 23659470, 20457489, 20841643, 24073031, 17336868, 17653994, 24139770, 19945334, 20385018, 22811757, 21689119]","[24067267, 24251273, 23859438, 23768119, 23538392]",5,5,1.0
47,"No, Weaver syndrome is a genetic disorder that affects the development of the central nervous system, specifically the brain and spinal cord. Sotos syndrome, on the other hand, is a genetic disorder that affects the development of the skull, eyes, and ears. Weaver syndrome and Sotos syndrome are two different disorders with different physical characteristics and severity.","Overgrowth conditions are a heterogeneous group of disorders characterised by increased growth and variable features, including macrocephaly, distinctive facial appearance and various degrees of learning difficulties and intellectual disability. Among them, Sotos and Weaver syndromes are clinically well defined and due to heterozygous mutations in NSD1 and EZH2, respectively. NSD1 and EZH2 are both histone-modifying enzymes",20,No answer generated,"[9781911, 26043501, 16010675, 12464997, 19011474, 21834047, 14571271, 24192683, 22715272, 2319581, 24852293, 25852445, 22287508, 23913520, 21567906, 23239432, 22177091, 23602925, 11805249, 12900893]","[12464997, 24852293, 24214728, 19011474, 22287508, 23592277, 9781911, 12807965]",5,8,0.625
48,"Evolocumab is a monoclonal antibody that targets PCSK9, a protein involved in the clearance of cholesterol from the blood.",Evolocumab (AMG145) is a fully human monoclonal antibody to proprotein convertase subtilisin/kexin type 9 (PCSK9) that demonstrated marked reductions in plasma low-density lipoprotein cholesterol concentrations in statin-intolerant patients.,20,No answer generated,"[25470376, 24859266, 24598985, 24691094, 26364362, 24678979, 24694531, 27284008, 24661068, 27207595, 24825642, 24255061, 25052769, 27567901, 26822080, 24961142, 33196153, 27661220, 26886466, 32813947]","[24859266, 24694531, 24691094, 25470376, 24825642, 24953393, 25079474, 24953396, 25002170, 24678979, 25410046, 24598985, 24661068, 24477778, 24481874, 24255061, 25282519, 25282520, 24509273, 25052769, 24284914, 24373748, 24961142, 24662398]",11,24,0.4583333333333333
49,"No, ultraconserved elements are not always transcribed. They are simply regions of DNA that are highly conserved across species and can be used as a reference point for genetic analysis. Ultraconserved elements can be either functional or non-functional, depending on their role in the genome. However, they are not often transcribed because they are not essential for cellular function and do not encode proteins. Ultraconserved elements are often called “scaffolding elements” because they provide a framework for the transcription of other genes in the genome.","Yes.  Especially, a large fraction of non-exonic UCEs is transcribed across all developmental stages examined from only one DNA strand.",20,No answer generated,"[23217155, 22987666, 18533721, 18957701, 20202189, 22496592, 25618141, 16998490, 17514354, 18282512, 23393190, 15899965, 18514361, 26527719, 22962458, 26223268, 16859531, 9256076, 18047649, 29028909]","[24037088, 21187392, 22328099, 22094949, 23393190, 20202189, 16705037, 24384562, 22617881, 19660540]",2,10,0.2
50,The methyl donor of DNA (cytosine-5)-methyltransferases is the NADPH molecule.,"S-adenosyl-L-methionine (AdoMet, SAM) is the methyl donor of DNA (cytosine-5)-methyltransferases. DNA (cytosine-5)-methyltransferases catalyze the transfer of a methyl group from S-adenosyl-L-methionine to the C-5 position of cytosine residues in DNA.",20,No answer generated,"[1584813, 8441638, 8441637, 7473738, 8065896, 3558369, 6884360, 7638194, 20364115, 11838638, 1598200, 12368098, 20139415, 7536414, 16424344, 23528166, 25179373, 23357425, 9207024, 12787669]","[7578083, 8441638, 8065896, 7607467, 1584813, 11208790, 15273274]",3,7,0.42857142857142855
51,"No, peripheral neuroepithelioma is not related to Ewing sarcoma. Neuroepitheliomas are a type of cancer that starts in the tissue that covers the brain and spinal cord, called the meninges. Ewing sarcoma is a type of bone cancer that starts in the bone tissue. Neuroepitheliomas can occur in the meninges, but they are not related to Ewing sarcoma.","Experimental data support the concept that Ewing sarcoma and peripheral neuroepithelioma are both peripheral primitive neuroectodermal neoplasms, differing only in the extent of neuroectodermal phenotype and morphological differentiation.",20,No answer generated,"[8204006, 7771924, 9213191, 24158076, 15274413, 3760036, 7513503, 8321753, 10782405, 16864960, 2162733, 10492040, 23674776, 7029300, 21422656, 23475435, 17453169, 25303625, 2303258, 9447621]","[10968707, 3760036, 8204006, 25303625, 3390826, 9825003, 1283315, 7771924, 8644855, 8321753, 7595741, 7513503]",6,12,0.5
52,Sonidegib inhibits the signaling pathway that mediates the activation of the Wnt/β-catenin pathway.,Sonidegib is a Hedghog signalling pathway inhibitor.,20,No answer generated,"[24523439, 27189494, 25981810, 23776620, 24817600, 19850932, 19074834, 15655376, 27538055, 22863786, 24648413, 19158508, 26513298, 26614022, 21685894, 20888802, 21685889, 22573616, 21285352, 22738915]","[24817600, 24598114, 25646180, 24928708, 25473003, 24613036, 24523439, 25981810]",3,8,0.375
53,The impairment in Fanconi anemia is in the cell cycle arrest phase.,"In response to damage induced by DNA cross-linking agents, the S-phase checkpoint is inefficient in Fanconi anemia (FA) cells, leading to accumulation of secondary lesions, such as single- and double-strand breaks and gaps. The prolonged time in G2 phase seen in FA cells therefore exists in order to allow the cells to remove lesions which accumulated during the preceding abnormal S phase.",20,No answer generated,"[11749045, 11035915, 7116934, 11591364, 22693659, 12483114, 19427003, 19728769, 1530123, 19278965, 12525204, 11854176, 28657246, 22504776, 23333482, 10915769, 16188650, 9207444, 20453460, 8068955]","[11035915, 9650445, 14988723, 11749045, 9414295]",2,5,0.4
54,"The R-loop is a short sequence of DNA that can form within a gene's promoter region. It can lead to mutations and gene disruption, leading to genetic diseases. R-loops are more prone for formation than T-loops.","R-loops, transcriptionally-induced RNA:DNA hybrids, occurring at repeat tracts (CTG)n, (CAG)n, (CGG)n, (CCG)n and (GAA)n, are associated with diseases including myotonic dystrophy, Huntington's disease, fragile X and Friedreich's ataxia.  Physiological R-loop formation at CpG island promoters can contribute to DNA replication origin specification at these regions, the most efficient replication initiation sites in mammalian cells. R-loops may also possess beneficial effects, as their widespread formation has been detected over CpG island promoters in human genes. R-loops are particularly enriched over G-rich terminator elements.",20,No answer generated,"[25487262, 16793409, 21979917, 20729633, 19841062, 22464440, 25972891, 23514951, 21129203, 23868195, 29028898, 24787137, 3996596, 24124207, 20479947, 27084947, 8798672, 12771211, 19270754, 28765367]","[20080737, 16793409, 24787137, 25147206, 24843019, 15531884, 18986989, 22464440, 24743386, 25972891, 25296254]",4,11,0.36363636363636365
55,The gene mutated in familial isolated pituitary adenoma is not specified.,Mutation of aryl hydrocarbon receptor interacting protein (AIP) gene was implicated in the familial isolated pituitary adenoma (FIPA) syndrome. About 20% of the families with FIPA harbor inactivating mutation in AIP gene.,20,No answer generated,"[22584704, 20616498, 24789813, 17961654, 20506337, 21498161, 23371967, 17893250, 17993773, 17244780, 23652674, 22291433, 21450940, 20616502, 20457215, 23286415, 24423289, 21778740, 24050928, 23743763]","[22584704, 20669561, 17893250, 22527616, 23286415, 23743763, 23038625, 17993773, 24366639, 21498161, 20616498, 21778740, 24789813, 17961654, 20616502, 24423289, 20833337, 23633209, 21450940, 20570174, 23371967, 23652674, 24996936, 23310926, 22915287, 20506337, 24078436, 22291433, 21454441, 17244780, 24050928, 19883897, 20457215]",20,33,0.6060606060606061
56,"There are two mutations in the troponin C gene (CYBB) that have been associated with hypertrophic cardiomyopathy (HCM):
1) C335T: This mutation results in a substitution of cysteine for thymine in the C-terminus of the troponin C protein (CYBB). This mutation leads to a reduction in the activity of the troponin C protein, which can result in increased myocardial contractility and reduced cardiac function.
2) C402T: This mutation results in a substitution of cysteine for threonine in the C-terminus of the troponin C protein (CYBB). This mutation leads to a reduction in the affinity of the troponin C protein for its binding partners, which can result in a decrease in myocardial contractility.
Both of these mutations have been identified in individuals with HCM, and their presence has been associated with an increased risk of developing hypertrophic cardiomyopathy. However, the precise mechanisms underlying these mutations remain unclear. Further research is needed to understand the role of these mutations in the pathogenesis of HCM.",The following mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy: L29Q; A8V; A31S; E134D; c.363dupG; A23Q; D145E and C84Y,20,No answer generated,"[18572189, 22815480, 21262074, 19439414, 23782526, 25309450, 20459070, 23147248, 25191275, 22489623, 15998695, 21551322, 21167350, 16302972, 18285522, 18505755, 12642359, 7788945, 24260207, 15205937]","[18572189, 24260207, 18285522, 19506933, 19439414, 22489623, 22815480, 20566645, 21262074, 16302972, 23425245, 20459070]",9,12,0.75
57,A recent study published in the Journal of Clinical Psychiatry found that acupuncture can be an effective smoking cessation technique. The study included 118 smokers who received either acupuncture or sham acupuncture. The results showed that 74% of participants who received acupuncture remained smoke-free compared to 56% who received sham acupuncture. The study also found that acupuncture was associated with improved smoking cessation outcomes.,"Ear acupressure (EAP) and ear acupuncture have been used for smoking cessation, and some positive results have been reported.
Auricular (ear) acupressure has been purported to be beneficial in achieving smoking cessation in some studies, while in others has been deemed insignificant.
The combined acupuncture-education group showing the greatest effect from treatment.",20,No answer generated,"[15861492, 17698433, 12356614, 10024707, 15004442, 11154059, 24030452, 18405159, 22373002, 16566674, 17573781, 19357145, 18629723, 31399459, 22104038, 20078491, 25517706, 24574554, 23859696, 16831112]","[17264832, 17698433, 10024707, 12356614, 18405159, 12416359, 22373002, 11154059, 16566674, 24030452, 15861492, 15004442]",10,12,0.8333333333333334
58,"Constitutive heterochromatin is formed by the accumulation of epigenetic modifications on the chromatin structure, which are primarily histone modifications. The most common histone modifications found in constitutive heterochromatin include acetylation, methylation, and ubiquitination. These modifications are typically associated with the formation of compact structures and the reduction in the number of chromatin-bound proteins, leading to the formation of a more condensed and less dynamic chromatin structure.","H3K9me3 is the major marker of constitutive heterochromatin. Other histone methylation marks usually found in constitutive heterochromatin, are H4K20me3 and H3K79me3. Classical histone modifications associated with heterochromatin include H3K9me2, H3K27me1 and H3K27me2. Histone H3 trimethylation at lysine 36 is associated with constitutive and facultative heterochromatin. H3S10 phosphorylation marks constitutive heterochromatin during interphase in early mouse embryos until the 4-cell stage",20,No answer generated,"[15368356, 16705169, 11850619, 15791412, 11740497, 28636597, 11356363, 21803857, 17710556, 20599948, 14690609, 16648823, 24469045, 12068920, 19205716, 18004385, 22713752, 16254244, 23232545, 22504884]","[21541345, 18592385, 22319459, 17891782, 11356363, 18987983, 20532208, 11740497, 21803857, 12581305, 22572731, 17710556]",4,12,0.3333333333333333
59,"The GV1001 vaccine targets the human leukocyte antigen (HLA) A2 antigen, which is a protein on the surface of white blood cells that helps the body recognize and respond to foreign substances.",GV1001 is a 16-amino-acid vaccine peptide derived from the human telomerase reverse transcriptase sequence. It has been developed as a vaccine against various cancers.,20,No answer generated,"[21377838, 24411674, 24919654, 21586625, 24439482, 24815142, 23398507, 7534789, 30967460, 23505126, 12072528, 17725386, 26635029, 1355324, 25726088, 19859560, 12642606, 22095915, 23514126, 31399377]","[21586625, 24815142, 20822343, 24919654, 21377838, 19388882, 23827187, 22841437, 24411674, 19072345, 24439482, 24954781]",6,12,0.5
60,The E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation is PI3K/mTOR/mTORC1.,"IκB degradation involves ubiquitination mediated by a specific E3 ubiquitin ligase SCF(β-TrCP). SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.",20,No answer generated,"[14688465, 23150437, 22435548, 17121848, 18948196, 19037995, 29777695, 21135095, 16034054, 11158290, 18042044, 22812526, 26743630, 26085216, 23148618, 27345149, 23671280, 19176477, 23746843, 15632057]","[17001349, 20028970, 16778892, 10837071, 22435548]",1,5,0.2
